index,PG
0,16.22890281677246
1,16.935699462890625
2,16.773433685302734
3,17.127126693725586
4,17.02775001525879
5,18.193073272705078
6,17.301443099975586
7,17.7198543548584
8,17.983047485351562
9,17.96076011657715
10,17.984914779663086
11,17.942880630493164
12,17.309125900268555
13,18.272109985351562
14,17.329086303710938
15,17.496286392211914
16,18.595170974731445
17,17.615140914916992
18,18.295265197753906
19,18.024660110473633
20,18.03805923461914
21,17.889476776123047
22,17.624746322631836
23,17.971200942993164
24,17.9127140045166
25,17.64437484741211
26,17.486595153808594
27,17.571292877197266
28,17.3319034576416
29,17.28844451904297
30,17.916553497314453
31,17.394033432006836
32,17.532913208007812
33,17.238492965698242
34,17.652490615844727
35,17.0898494720459
36,17.197891235351562
37,17.225101470947266
38,16.9995059967041
39,17.572813034057617
40,17.45903778076172
41,17.58924674987793
42,17.10903549194336
43,17.359344482421875
44,17.78254508972168
45,17.391094207763672
46,17.5543212890625
47,16.687013626098633
48,16.451141357421875
49,17.508811950683594
50,17.348745346069336
51,16.129179000854492
52,16.829517364501953
53,17.00705337524414
54,17.260709762573242
55,17.285181045532227
56,16.811908721923828
57,17.13369369506836
58,16.883037567138672
59,17.34665298461914
60,17.624469757080078
61,16.989286422729492
62,17.22280502319336
63,17.104795455932617
64,16.924116134643555
65,16.621929168701172
66,17.038471221923828
67,17.030014038085938
68,17.24785041809082
69,17.421613693237305
70,16.60365104675293
71,17.204334259033203
72,17.801572799682617
73,17.2120304107666
74,17.29225730895996
75,17.97824478149414
76,17.33350372314453
77,17.225725173950195
78,17.082353591918945
79,17.752050399780273
80,17.42791175842285
81,17.316728591918945
82,16.88144874572754
83,17.34583854675293
84,17.221529006958008
85,17.286903381347656
86,16.95220947265625
87,17.309131622314453
88,17.766252517700195
89,17.737770080566406
90,17.02268409729004
91,17.999549865722656
92,17.32541847229004
93,17.977127075195312
94,17.378583908081055
95,17.690847396850586
96,17.926925659179688
97,17.404415130615234
98,18.154050827026367
99,17.990079879760742
100,18.10624122619629
101,17.343769073486328
102,17.87623405456543
103,17.7852783203125
104,17.694299697875977
105,17.9451847076416
106,17.416383743286133
107,17.889610290527344
108,17.507991790771484
109,17.595674514770508
110,17.894222259521484
111,17.914316177368164
112,17.04581069946289
113,17.16111183166504
114,17.81258773803711
115,17.432039260864258
116,18.308177947998047
117,17.777734756469727
118,17.347745895385742
119,17.78969955444336
120,17.951904296875
121,17.486413955688477
122,18.20029067993164
123,17.932619094848633
124,17.67483901977539
125,18.24176025390625
126,17.79798698425293
127,17.80047035217285
128,17.884037017822266
129,17.614246368408203
130,17.524106979370117
131,17.65597915649414
132,18.43545150756836
133,18.033788681030273
134,17.421104431152344
135,17.694507598876953
136,17.544048309326172
137,17.417980194091797
138,18.219018936157227
139,17.745203018188477
140,18.48512840270996
141,17.605817794799805
142,17.65853500366211
143,17.925186157226562
144,17.968914031982422
145,17.873559951782227
146,17.900400161743164
147,17.7294864654541
148,17.80493927001953
149,18.61921501159668
150,18.7059383392334
151,17.39214324951172
152,18.198589324951172
153,18.283052444458008
154,17.545650482177734
155,17.53658103942871
156,18.333539962768555
157,18.252656936645508
158,17.687963485717773
159,17.66709327697754
160,17.86585235595703
161,17.869956970214844
162,17.669445037841797
163,18.456392288208008
164,18.33119010925293
165,17.702186584472656
166,18.138076782226562
167,17.708059310913086
168,19.152278900146484
169,18.49971580505371
170,18.465030670166016
171,17.720808029174805
172,18.40113067626953
173,18.80669403076172
174,18.81601905822754
175,18.18617820739746
176,18.805206298828125
177,19.261295318603516
178,18.36513328552246
179,19.126222610473633
180,18.9267520904541
181,18.904001235961914
182,18.662296295166016
183,18.733230590820312
184,18.289306640625
185,19.09357452392578
186,18.262451171875
187,18.54420280456543
188,18.639680862426758
189,18.97568702697754
190,19.074621200561523
191,18.420259475708008
192,18.60169219970703
193,18.724390029907227
194,18.904985427856445
195,18.51763916015625
196,17.945329666137695
197,19.100656509399414
198,18.956531524658203
199,18.17641258239746
200,18.74043083190918
201,19.030908584594727
202,18.4465274810791
203,18.490102767944336
204,18.155485153198242
205,18.304765701293945
206,19.13434600830078
207,18.42978286743164
208,18.500507354736328
209,19.116004943847656
210,18.311355590820312
211,18.161134719848633
212,18.568687438964844
213,18.66434097290039
214,18.20710563659668
215,18.721004486083984
216,18.37018394470215
217,18.415563583374023
218,18.53432846069336
219,19.02654457092285
220,18.440025329589844
221,18.472379684448242
222,17.902889251708984
223,18.3262996673584
224,18.45485496520996
225,18.73253631591797
226,18.602933883666992
227,18.57623863220215
228,18.341960906982422
229,18.52604866027832
230,18.37005043029785
231,18.291078567504883
232,18.349531173706055
233,18.259061813354492
234,18.31271743774414
235,19.07593536376953
236,18.537635803222656
237,18.341001510620117
238,18.24058723449707
239,18.299894332885742
240,18.6177921295166
241,18.555612564086914
242,18.549381256103516
243,18.718168258666992
244,18.67194175720215
245,18.125835418701172
246,18.337074279785156
247,18.660423278808594
248,18.619029998779297
249,18.221872329711914
250,18.73257827758789
251,18.80603790283203
252,17.796220779418945
253,18.410253524780273
254,18.352569580078125
255,18.5145320892334
256,18.16449737548828
257,18.613571166992188
258,17.7845516204834
259,18.35173797607422
260,18.251089096069336
261,18.153247833251953
262,19.011384963989258
263,18.946334838867188
264,18.650373458862305
265,18.325551986694336
266,18.454133987426758
267,18.52358055114746
268,18.51066780090332
269,18.56586456298828
270,18.254314422607422
271,18.517961502075195
272,18.711124420166016
273,19.00400161743164
274,17.91856575012207
275,18.734394073486328
276,18.891510009765625
277,18.587539672851562
278,18.818586349487305
279,18.719039916992188
280,18.75798988342285
281,18.75696563720703
282,18.78597640991211
283,18.398740768432617
284,18.26784324645996
285,18.57183265686035
286,18.40241813659668
287,18.360437393188477
288,18.348461151123047
289,18.57864761352539
290,18.161741256713867
291,18.841690063476562
292,17.952106475830078
293,18.39229965209961
294,18.61641502380371
295,18.238454818725586
296,18.43476104736328
297,17.843055725097656
298,18.788419723510742
299,18.977067947387695
300,18.719003677368164
301,18.712411880493164
302,19.307601928710938
303,19.094772338867188
304,18.758398056030273
305,18.51236915588379
306,18.687410354614258
307,18.627687454223633
308,18.042770385742188
309,18.450834274291992
310,18.39731216430664
311,18.457286834716797
312,18.077125549316406
313,18.15459632873535
314,18.964784622192383
315,17.951509475708008
316,18.54808235168457
317,18.653932571411133
318,17.888338088989258
319,18.7883358001709
320,17.895509719848633
321,18.97808074951172
322,18.839868545532227
323,18.772884368896484
324,18.631792068481445
325,18.190650939941406
326,18.34617805480957
327,18.975055694580078
328,18.430261611938477
329,19.023164749145508
330,18.726398468017578
331,18.54224967956543
332,18.29911994934082
333,18.15247917175293
334,17.652376174926758
335,18.4058780670166
336,18.763200759887695
337,18.276592254638672
338,18.56279754638672
339,18.368186950683594
340,17.894920349121094
341,18.95124626159668
342,18.463218688964844
343,18.698884963989258
344,18.208343505859375
345,18.08875274658203
346,19.146635055541992
347,18.423681259155273
348,18.296100616455078
349,18.56512451171875
350,18.805130004882812
351,19.045007705688477
352,17.997150421142578
353,18.29202651977539
354,18.247783660888672
355,18.547229766845703
356,18.24456024169922
357,18.693323135375977
358,18.3922061920166
359,18.301780700683594
360,18.275718688964844
361,18.72779655456543
362,18.869558334350586
363,18.995405197143555
364,18.414012908935547
365,19.275833129882812
366,18.713130950927734
367,18.9938907623291
368,18.460302352905273
369,18.42747688293457
370,19.015209197998047
371,18.37614631652832
372,18.772903442382812
373,18.513744354248047
374,18.89959716796875
375,18.409563064575195
376,18.896310806274414
377,18.651294708251953
378,18.313066482543945
379,18.393142700195312
380,18.134546279907227
381,18.10727310180664
382,18.41568946838379
383,18.481815338134766
384,18.641775131225586
385,18.672698974609375
386,18.68335723876953
387,18.65386199951172
388,18.22850799560547
389,18.480295181274414
390,18.858793258666992
391,18.904508590698242
392,18.604564666748047
393,19.164268493652344
394,18.387508392333984
395,18.447555541992188
396,18.54193687438965
397,18.659160614013672
398,18.544605255126953
399,18.7399845123291
400,18.76340103149414
401,18.99823570251465
402,18.529460906982422
403,19.069421768188477
404,19.183856964111328
405,18.757768630981445
406,18.9325008392334
407,19.075302124023438
408,19.301349639892578
409,19.42540168762207
410,19.109355926513672
411,19.106075286865234
412,19.061716079711914
413,18.466779708862305
414,18.720327377319336
415,18.381223678588867
416,18.82467269897461
417,18.73769187927246
418,18.36586570739746
419,19.31293487548828
420,19.00364875793457
421,19.008150100708008
422,19.117929458618164
423,19.073347091674805
424,18.999591827392578
425,19.15984535217285
426,19.11610984802246
427,19.304460525512695
428,18.352144241333008
429,19.28505516052246
430,18.838146209716797
431,19.671024322509766
432,18.530492782592773
433,19.305776596069336
434,18.78820037841797
435,18.612972259521484
436,18.621618270874023
437,18.674707412719727
438,18.421321868896484
439,19.572532653808594
440,18.856529235839844
441,19.48111915588379
442,19.08747673034668
443,18.837047576904297
444,18.16718292236328
445,19.025239944458008
446,18.310941696166992
447,19.14225959777832
448,19.05885124206543
449,19.005901336669922
450,18.884449005126953
451,18.83279800415039
452,18.697139739990234
453,18.642526626586914
454,19.089580535888672
455,18.930295944213867
456,18.78497886657715
457,18.703153610229492
458,19.03192901611328
459,17.919879913330078
460,19.42599105834961
461,18.22127342224121
462,18.61670684814453
463,18.764511108398438
464,18.716140747070312
465,19.044536590576172
466,19.24553680419922
467,19.164644241333008
468,18.704633712768555
469,18.101163864135742
470,18.640302658081055
471,18.916440963745117
472,18.839332580566406
473,18.604122161865234
474,18.621896743774414
475,18.922452926635742
476,18.411529541015625
477,18.959409713745117
478,18.702966690063477
479,18.910572052001953
480,18.357746124267578
481,18.795780181884766
482,18.6003475189209
483,18.293304443359375
484,18.50002670288086
485,18.340105056762695
486,18.860492706298828
487,18.836851119995117
488,18.594318389892578
489,19.024293899536133
490,18.839126586914062
491,18.985898971557617
492,19.564346313476562
493,19.060800552368164
494,18.227413177490234
495,18.850934982299805
496,18.83087158203125
497,18.396718978881836
498,18.941970825195312
499,18.830896377563477
500,18.6312198638916
501,18.81594467163086
502,19.829113006591797
503,18.79692840576172
504,18.86518096923828
505,19.23784637451172
506,19.199298858642578
507,19.142078399658203
508,18.903972625732422
509,18.51212501525879
510,19.16359519958496
511,18.716825485229492
512,19.201038360595703
513,18.68513298034668
514,19.345664978027344
515,18.939363479614258
516,18.607852935791016
517,19.135921478271484
518,18.813182830810547
519,18.88808250427246
520,19.05548858642578
521,19.168170928955078
522,19.1553897857666
523,19.682586669921875
524,19.187480926513672
525,19.129730224609375
526,19.181257247924805
527,19.129318237304688
528,19.090694427490234
529,19.053417205810547
530,19.221059799194336
531,18.946430206298828
532,18.811464309692383
533,19.266597747802734
534,18.779523849487305
535,19.13645362854004
536,18.407482147216797
537,18.891801834106445
538,18.199787139892578
539,18.800342559814453
540,18.329174041748047
541,19.159103393554688
542,18.58865737915039
543,18.127361297607422
544,18.569942474365234
545,18.29930305480957
546,18.41596221923828
547,18.51228904724121
548,18.821096420288086
549,19.080358505249023
550,18.28101921081543
551,18.463382720947266
552,18.819456100463867
553,18.479673385620117
554,18.451658248901367
555,18.38096046447754
556,18.530109405517578
557,18.264148712158203
558,18.183917999267578
559,18.578401565551758
560,18.775653839111328
561,19.261173248291016
562,18.59322738647461
563,18.866174697875977
564,18.801340103149414
565,17.792783737182617
566,18.6964111328125
567,18.404603958129883
568,18.78081512451172
569,18.676239013671875
570,18.363197326660156
571,18.27733039855957
572,19.005477905273438
573,18.568714141845703
574,18.71322250366211
575,18.577444076538086
576,19.084640502929688
577,19.150014877319336
578,18.873489379882812
579,18.753143310546875
580,18.77356719970703
581,18.841604232788086
582,19.006162643432617
583,18.659311294555664
584,19.35433578491211
585,18.627368927001953
586,18.797597885131836
587,19.02950096130371
588,18.01327896118164
589,18.623353958129883
590,18.98089599609375
591,19.143596649169922
592,19.134422302246094
593,18.533401489257812
594,18.486295700073242
595,18.51198387145996
596,18.715036392211914
597,19.220823287963867
598,18.869333267211914
599,19.000900268554688
600,18.52040672302246
601,18.40960693359375
602,18.627084732055664
603,18.7039852142334
604,18.79105567932129
605,18.359453201293945
606,18.1859073638916
607,18.67583656311035
608,18.474506378173828
609,18.041818618774414
610,19.245014190673828
611,18.372774124145508
612,18.767993927001953
613,18.372779846191406
614,18.461732864379883
615,18.47092628479004
616,19.245412826538086
617,18.59603500366211
618,18.97212028503418
619,19.042362213134766
620,18.700593948364258
621,18.92416000366211
622,19.569990158081055
623,18.71919059753418
624,18.7740478515625
625,18.70490074157715
626,18.648237228393555
627,18.76527976989746
628,18.95626449584961
629,18.56229019165039
630,18.538679122924805
631,18.56437110900879
632,18.383207321166992
633,18.606708526611328
634,18.7403621673584
635,19.03000259399414
636,18.72418975830078
637,19.27607536315918
638,18.575786590576172
639,18.441753387451172
640,18.853471755981445
641,18.375547409057617
642,18.497913360595703
643,18.72540855407715
644,18.68107795715332
645,18.973039627075195
646,18.266756057739258
647,18.248573303222656
648,19.06157875061035
649,18.36649513244629
650,18.905736923217773
651,18.694135665893555
652,18.718576431274414
653,18.801132202148438
654,18.453414916992188
655,18.576753616333008
656,18.656946182250977
657,18.3941593170166
658,18.58589744567871
659,18.740949630737305
660,18.33094596862793
661,18.94919776916504
662,18.457277297973633
663,18.508445739746094
664,18.1556339263916
665,18.592008590698242
666,18.522048950195312
667,17.99161148071289
668,17.97982406616211
669,18.087825775146484
670,18.983585357666016
671,19.245708465576172
672,18.250356674194336
673,18.559734344482422
674,18.717180252075195
675,18.2313175201416
676,18.085474014282227
677,18.245203018188477
678,18.416458129882812
679,18.51575469970703
680,18.1337833404541
681,19.012176513671875
682,19.360370635986328
683,18.777263641357422
684,19.11766242980957
685,18.763853073120117
686,18.608158111572266
687,18.51584815979004
688,18.89279556274414
689,18.881715774536133
690,18.372201919555664
691,18.082782745361328
692,18.2469425201416
693,19.019289016723633
694,18.470251083374023
695,19.16671371459961
696,17.97815704345703
697,18.94064712524414
698,18.804302215576172
699,18.502117156982422
700,19.032730102539062
701,18.71754264831543
702,18.32752799987793
703,18.390939712524414
704,18.766643524169922
705,18.78929901123047
706,19.262243270874023
707,18.891305923461914
708,18.37544059753418
709,18.643728256225586
710,18.848039627075195
711,18.925395965576172
712,18.821718215942383
713,18.596939086914062
714,18.84473991394043
715,18.20448112487793
716,18.41900634765625
717,18.4686279296875
718,18.612430572509766
719,18.957857131958008
720,18.45719337463379
721,18.908401489257812
722,18.028425216674805
723,18.436437606811523
724,18.71323013305664
725,18.56048583984375
726,18.549726486206055
727,18.587461471557617
728,18.869165420532227
729,18.122514724731445
730,18.874479293823242
731,18.580974578857422
732,18.743181228637695
733,18.78224754333496
734,18.55561637878418
735,18.742666244506836
736,18.929988861083984
737,18.776721954345703
738,18.79513168334961
739,18.803085327148438
740,18.53228187561035
741,18.701045989990234
742,18.809711456298828
743,18.25566291809082
744,18.50592803955078
745,19.130855560302734
746,18.720367431640625
747,18.339479446411133
748,18.518205642700195
749,18.670679092407227
750,18.761756896972656
751,18.878393173217773
752,18.700119018554688
753,18.59029769897461
754,18.281558990478516
755,18.22209930419922
756,18.35798454284668
757,18.65875244140625
758,18.72110939025879
759,18.18853759765625
760,19.090503692626953
761,18.36296272277832
762,18.555208206176758
763,18.318220138549805
764,18.226163864135742
765,18.57918357849121
766,18.860387802124023
767,19.19401741027832
768,18.73149299621582
769,19.11384391784668
770,18.876392364501953
771,18.922855377197266
772,18.50867462158203
773,18.891321182250977
774,18.670333862304688
775,18.688156127929688
776,18.43401336669922
777,18.919597625732422
778,18.863750457763672
779,19.463268280029297
780,18.82366943359375
781,19.055952072143555
782,18.88395118713379
783,19.273862838745117
784,18.49868392944336
785,18.317337036132812
786,18.637720108032227
787,18.5125732421875
788,18.2473201751709
789,18.74105453491211
790,18.911529541015625
791,18.615842819213867
792,18.946847915649414
793,19.088533401489258
794,18.532272338867188
795,18.056686401367188
796,18.602449417114258
797,18.49347496032715
798,18.502155303955078
799,18.574783325195312
800,18.418073654174805
801,18.793622970581055
802,18.401695251464844
803,18.466421127319336
804,18.805728912353516
805,18.895572662353516
806,18.448869705200195
807,19.05129623413086
808,19.01057243347168
809,18.183975219726562
810,18.685312271118164
811,18.132673263549805
812,18.562623977661133
813,18.18931770324707
814,18.744098663330078
815,18.165454864501953
816,18.49341583251953
817,18.722562789916992
818,18.273048400878906
819,18.17061424255371
820,18.447952270507812
821,18.679521560668945
822,18.431371688842773
823,18.92091178894043
824,18.104747772216797
825,18.751333236694336
826,18.040987014770508
827,17.933818817138672
828,18.499706268310547
829,18.612380981445312
830,18.03414535522461
831,18.274707794189453
832,18.1138973236084
833,18.560205459594727
834,18.65125274658203
835,18.87422752380371
836,18.79924774169922
837,18.027679443359375
838,19.417217254638672
839,17.9340763092041
840,18.375577926635742
841,18.122331619262695
842,18.94664192199707
843,18.877058029174805
844,19.37053680419922
845,18.633012771606445
846,18.250375747680664
847,17.96945571899414
848,18.000905990600586
849,18.329416275024414
850,18.330812454223633
851,18.573192596435547
852,18.76549530029297
853,18.131927490234375
854,18.569215774536133
855,17.952526092529297
856,18.671476364135742
857,18.911558151245117
858,18.521699905395508
859,18.463756561279297
860,18.130779266357422
861,18.21234893798828
862,18.24042320251465
863,18.204647064208984
864,18.802898406982422
865,18.825796127319336
866,18.593883514404297
867,18.457595825195312
868,18.06023597717285
869,18.712688446044922
870,18.83783721923828
871,18.26548957824707
872,18.849136352539062
873,18.643070220947266
874,19.32552146911621
875,18.56964683532715
876,18.60770606994629
877,18.76918601989746
878,18.225872039794922
879,18.624347686767578
880,18.20319175720215
881,18.68577766418457
882,19.017927169799805
883,18.907474517822266
884,18.395614624023438
885,18.385051727294922
886,17.943559646606445
887,18.4130859375
888,18.409082412719727
889,18.54691505432129
890,18.72419548034668
891,18.451745986938477
892,18.65130043029785
893,18.444128036499023
894,18.734006881713867
895,18.353553771972656
896,18.53118896484375
897,19.063047409057617
898,18.411949157714844
899,18.808683395385742
900,18.754497528076172
901,18.56961441040039
902,18.2281436920166
903,18.760982513427734
904,18.85503387451172
905,19.449996948242188
906,18.632633209228516
907,18.81438636779785
908,18.872478485107422
909,18.539165496826172
910,18.55893898010254
911,18.613174438476562
912,18.72812271118164
913,18.63387107849121
914,19.249954223632812
915,18.558021545410156
916,19.18448257446289
917,18.792823791503906
918,18.722213745117188
919,18.7296142578125
920,18.827131271362305
921,18.557262420654297
922,18.919715881347656
923,17.997819900512695
924,18.887914657592773
925,18.330249786376953
926,18.777469635009766
927,18.0544490814209
928,18.430479049682617
929,17.878725051879883
930,18.561033248901367
931,19.11808204650879
932,18.379199981689453
933,18.795536041259766
934,18.522689819335938
935,18.995712280273438
936,18.757251739501953
937,18.405412673950195
938,18.43732452392578
939,18.90086555480957
940,19.620845794677734
941,19.223312377929688
942,18.614965438842773
943,18.943279266357422
944,18.8249568939209
945,18.431598663330078
946,19.041379928588867
947,18.577062606811523
948,18.611042022705078
949,18.79812240600586
950,17.675220489501953
951,18.708955764770508
952,18.114538192749023
953,18.52342414855957
954,18.04731559753418
955,18.375125885009766
956,18.877796173095703
957,18.20263671875
958,18.603078842163086
959,18.399158477783203
960,18.470823287963867
961,18.192834854125977
962,18.770849227905273
963,18.380386352539062
964,18.430225372314453
965,18.477285385131836
966,18.656715393066406
967,18.579389572143555
968,19.061176300048828
969,18.691226959228516
970,18.013046264648438
971,18.18303108215332
972,18.79238510131836
973,18.61176300048828
974,18.56625747680664
975,18.193634033203125
976,18.747732162475586
977,18.83237648010254
978,18.83717918395996
979,19.056303024291992
980,18.891447067260742
981,18.765037536621094
982,18.876327514648438
983,19.130142211914062
984,18.648841857910156
985,19.065580368041992
986,18.821125030517578
987,18.95814323425293
988,18.62118911743164
989,19.018550872802734
990,18.603099822998047
991,18.8117618560791
992,18.49612808227539
993,18.569337844848633
994,19.086780548095703
995,18.911821365356445
996,19.00208282470703
997,19.258358001708984
998,18.612455368041992
999,18.3992919921875
